Fecha;TRM;Casos;Ecopetrol
23/05/2021;3738.19;21669;2317.81
22/05/2021;3738.19;18737;2325.25
21/05/2021;3721.57;14838;2285.00
20/05/2021;3682.66;16086;2314.00
19/05/2021;3655.74;16579;2347.00
18/05/2021;3682.84;13137;2355.00
17/05/2021;3682.84;12984;2349.56
16/05/2021;3682.84;15093;2343.80
15/05/2021;3682.84;18873;2346.00
14/05/2021;3728.09;16581;2387.00
13/05/2021;3734.09;19160;2301.00
12/05/2021;3703.20;16993;2370.00
11/05/2021;3714.94;16425;2315.00
10/05/2021;3765.33;12543;2357.00
09/05/2021;3765.33;17222;2270.84
08/05/2021;3765.33;16910;2262.20
07/05/2021;3800.33;17525;2288.00
06/05/2021;3846.28;16490;2291.00
05/05/2021;3831.35;14806;2288.00
04/05/2021;3816.65;14551;2225.00
03/05/2021;3740.14;11599;2219.00
02/05/2021;3740.14;15909;2284.16
01/05/2021;3740.14;18022;2281.80
30/04/2021;3712.89;17790;2210.00
29/04/2021;3699.74;17308;2310.00
28/04/2021;3717.46;19745;2332.00
27/04/2021;3659.62;17578;2287.00
26/04/2021;3640.07;12839;2270.00
25/04/2021;3640.07;17190;2257.04
24/04/2021;3640.07;16730;2264.20
23/04/2021;3630.81;19925;2228.00
22/04/2021;3639.12;19306;2250.00
21/04/2021;3636.26;17212;2262.00
20/04/2021;3606.42;16965;2281.00
19/04/2021;3595.57;14189;2300.00
18/04/2021;3595.57;16871;2310.04
17/04/2021;3595.57;16654;2306.20
16/04/2021;3620.40;16703;2301.00
15/04/2021;3665.49;16918;2319.00
14/04/2021;3666.17;16487;2344.00
13/04/2021;3653.57;16377;2280.00
12/04/2021;3650.23;16739;2287.00
11/04/2021;3650.23;17483;2293.08
10/04/2021;3650.23;14509;2298.40
09/04/2021;3634.07;12125;2260.00
08/04/2021;3639.62;12464;2281.00
07/04/2021;3645.14;11381;2337.00
06/04/2021;3645.79;11827;2289.00
05/04/2021;3678.62;10190;2325.00
04/04/2021;3678.62;9022;2372.77
03/04/2021;3678.62;9149;2371.07
02/04/2021;3678.62;10222;2371.56
01/04/2021;3678.62;11449;2375.67
31/03/2021;3736.91;8646;2366.00
30/03/2021;3705.85;7952;2373.00
29/03/2021;3665.41;7049;2388.00
28/03/2021;3665.41;7139;2329.75
27/03/2021;3665.41;8254;2320.00
26/03/2021;3658.22;7395;2351.00
25/03/2021;3635.12;6732;2315.00
24/03/2021;3589.82;5986;2333.00
23/03/2021;3553.34;4946;2281.00
22/03/2021;3553.34;5128;2402.50
21/03/2021;3553.34;5963;2412.08
20/03/2021;3553.34;6761;2423.40
19/03/2021;3569.45;5133;2370.00
18/03/2021;3578.02;5139;2350.00
17/03/2021;3553.51;4554;2457.00
16/03/2021;3575.63;3716;2460.00
15/03/2021;3575.30;2740;2480.00
14/03/2021;3575.30;4062;2363.80
13/03/2021;3575.30;4465;2361.00
12/03/2021;3534.62;4078;2378.00
11/03/2021;3561.91;4579;2368.00
10/03/2021;3598.77;3588;2373.00
09/03/2021;3623.61;3511;2339.00
08/03/2021;3640.20;2205;2347.00
07/03/2021;3640.20;3411;2292.80
06/03/2021;3640.20;3663;2285.00
05/03/2021;3647.99;3371;2400.00
04/03/2021;3676.94;3565;2279.00
03/03/2021;3646.61;3047;2255.00
02/03/2021;3622.36;4339;2245.00
01/03/2021;3624.39;3570;2246.00
